球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO,期間
阪神タイガース,谷端 将伍,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,糸原 健斗,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,小幡 竜平,内野手,0.000,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,佐野 大陽,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,山田 脩也,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,百﨑 蒼生,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,植田 海,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,髙寺 望夢,内野手,0.150,20,1,3,0,0,0,0,5,2,1,1,0,1,0.231,0.150,0.381,0.000,2026/05/26_2026/05/31
阪神タイガース,森下 翔太,外野手,0.261,23,3,6,0,0,3,5,8,1,0,0,0,1,0.233,0.652,0.886,0.391,2026/05/26_2026/05/31
阪神タイガース,近本 光司,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,濱田 太貴,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,岡城 快生,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,井坪 陽生,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,島田 海吏,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,前川 右京,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,小野寺 暖,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,豊田 寛,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,福島 圭音,外野手,0.200,5,0,1,0,0,0,0,1,2,0,0,2,0,0.375,0.200,0.575,0.000,2026/05/26_2026/05/31
阪神タイガース,戸井 零士,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,川﨑 俊哲,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,アルナエス,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,西 純矢,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,山﨑 照英,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
阪神タイガース,コンスエグラ,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,松尾 汐恩,捕手,0.429,14,0,6,0,0,0,1,1,0,0,0,0,0,0.300,0.429,0.729,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,戸柱 恭孝,捕手,0.000,3,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,益子 京右,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,東妻 純平,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,古市 尊,捕手,0.000,4,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,九鬼 隆平,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,林 琢真,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,牧 秀悟,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,小田 康一郎,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,森 敬斗,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,京田 陽太,内野手,0.200,10,1,2,0,0,1,3,3,1,0,0,0,1,0.231,0.500,0.731,0.300,2026/05/26_2026/05/31
横浜DeNAベイスターズ,筒香 嘉智,内野手,0.000,5,1,0,0,0,0,1,1,3,0,0,0,0,0.375,0.000,0.375,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,三森 大貴,内野手,0.400,5,2,2,0,0,0,1,1,0,0,0,1,0,0.286,0.400,0.686,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,柴田 竜拓,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,宮下 朝陽,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,加藤 響,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,井上 朋也,内野手,0.000,7,0,0,0,0,0,0,3,1,0,0,0,0,0.125,0.000,0.125,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,石上 泰輝,内野手,0.190,21,2,4,2,0,0,0,4,1,0,1,0,1,0.192,0.286,0.478,0.095,2026/05/26_2026/05/31
横浜DeNAベイスターズ,成瀬 脩人,内野手,0.200,5,1,1,0,0,0,0,4,0,0,0,0,1,0.167,0.200,0.367,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,宮﨑 敏郎,内野手,0.200,15,1,3,0,0,1,1,5,2,0,0,0,1,0.250,0.400,0.650,0.200,2026/05/26_2026/05/31
横浜DeNAベイスターズ,田内 真翔,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,ビシエド,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,度会 隆輝,外野手,0.200,25,3,5,1,0,1,5,3,1,0,0,0,0,0.194,0.360,0.554,0.160,2026/05/26_2026/05/31
横浜DeNAベイスターズ,佐野 恵太,外野手,0.429,21,0,9,3,0,0,2,1,1,0,0,0,0,0.323,0.571,0.894,0.143,2026/05/26_2026/05/31
横浜DeNAベイスターズ,神里 和毅,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,勝又 温史,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
横浜DeNAベイスターズ,井上 絢登,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
