試合ID,試合日,曜日,リーグ区分,ホーム/ビジター,球団,対戦球団,投手フルネーム,登板順,登板区分,結果,投球数,打者,投球回,投球回(アウト),奪三振,暴投,ボーク,失点,自責点,試合防御率
20260704_D-G_13,2026-07-04,土,セ・リーグ公式戦,ビジター,読売ジャイアンツ,中日ドラゴンズ,大勢,2,救援,H,14,3,1,3,1,0,0,0,0,0.00
20260704_D-G_13,2026-07-04,土,セ・リーグ公式戦,ビジター,読売ジャイアンツ,中日ドラゴンズ,田中 瑛斗,3,救援,敗,19,5,1,3,1,0,0,1,1,9.00
20260704_H-M_10,2026-07-04,土,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,北斗,1,先発,敗,65,15,2,6,1,0,0,8,8,36.00
20260704_H-M_10,2026-07-04,土,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,上茶谷 大河,2,救援,,67,14,3.1,10,3,0,0,0,0,0.00
20260704_H-M_10,2026-07-04,土,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,岩井 俊介,3,救援,,10,2,0.2,2,1,0,0,0,0,0.00
20260704_H-M_10,2026-07-04,土,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,中村 稔弥,4,救援,,30,7,2,6,2,0,0,0,0,0.00
20260704_H-M_10,2026-07-04,土,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,大竹 風雅,5,救援,,15,4,1,3,2,0,0,0,0,0.00
20260704_E-F_13,2026-07-04,土,パ・リーグ公式戦,ビジター,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,細野 晴希,1,先発,敗,99,28,6.1,19,8,0,0,3,3,4.26
20260704_E-F_13,2026-07-04,土,パ・リーグ公式戦,ビジター,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,齋藤 友貴哉,2,救援,,2,1,0.2,2,0,0,0,0,0,0.00
20260704_E-F_13,2026-07-04,土,パ・リーグ公式戦,ビジター,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,堀 瑞輝,3,救援,,27,6,1,3,2,0,0,1,1,9.00
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ホーム,オリックス・バファローズ,埼玉西武ライオンズ,髙島 泰都,1,先発,,79,22,4.2,14,2,0,0,3,3,5.79
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ホーム,オリックス・バファローズ,埼玉西武ライオンズ,才木 海翔,2,救援,H,2,1,0.1,1,0,0,0,0,0,0.00
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ホーム,オリックス・バファローズ,埼玉西武ライオンズ,岩嵜 翔,3,救援,H,15,4,1,3,1,0,0,0,0,0.00
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ホーム,オリックス・バファローズ,埼玉西武ライオンズ,山﨑 颯一郎,4,救援,H,19,4,1,3,1,0,0,0,0,0.00
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ホーム,オリックス・バファローズ,埼玉西武ライオンズ,椋木 蓮,5,救援,,23,5,1,3,0,0,0,1,1,9.00
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ホーム,オリックス・バファローズ,埼玉西武ライオンズ,Ａ．マチャド,6,救援,H,28,7,2,6,0,0,0,0,0,0.00
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ホーム,オリックス・バファローズ,埼玉西武ライオンズ,川瀬 堅斗,7,救援,H,20,4,0.1,1,0,0,0,0,0,0.00
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ホーム,オリックス・バファローズ,埼玉西武ライオンズ,博志,8,救援,,18,4,1.2,5,0,0,0,0,0,0.00
20260703_S-DB_11,2026-07-03,金,セ・リーグ公式戦,ビジター,横浜DeNAベイスターズ,東京ヤクルトスワローズ,尾形 崇斗,1,先発,,111,23,6,18,5,0,0,1,1,1.50
20260703_S-DB_11,2026-07-03,金,セ・リーグ公式戦,ビジター,横浜DeNAベイスターズ,東京ヤクルトスワローズ,Ｊ．ルイーズ,2,救援,H,19,4,1,3,0,0,0,0,0,0.00
20260703_S-DB_11,2026-07-03,金,セ・リーグ公式戦,ビジター,横浜DeNAベイスターズ,東京ヤクルトスワローズ,中川 虎大,3,救援,,24,5,1,3,2,0,0,1,1,9.00
20260703_S-DB_11,2026-07-03,金,セ・リーグ公式戦,ビジター,横浜DeNAベイスターズ,東京ヤクルトスワローズ,伊勢 大夢,4,救援,勝,12,3,1,3,2,0,0,0,0,0.00
20260703_S-DB_11,2026-07-03,金,セ・リーグ公式戦,ビジター,横浜DeNAベイスターズ,東京ヤクルトスワローズ,Ｓ．レイノルズ,5,救援,,15,3,1,3,2,0,0,0,0,0.00
20260703_T-C_11,2026-07-03,金,セ・リーグ公式戦,ビジター,広島東洋カープ,阪神タイガース,森 翔平,1,先発,勝,93,24,7,21,7,0,0,1,1,1.29
20260703_T-C_11,2026-07-03,金,セ・リーグ公式戦,ビジター,広島東洋カープ,阪神タイガース,遠藤 淳志,2,救援,,13,3,1,3,1,0,0,0,0,0.00
20260703_T-C_11,2026-07-03,金,セ・リーグ公式戦,ビジター,広島東洋カープ,阪神タイガース,森浦 大輔,3,救援,,17,4,1,3,2,0,0,0,0,0.00
20260703_T-C_11,2026-07-03,金,セ・リーグ公式戦,ホーム,阪神タイガース,広島東洋カープ,大竹 耕太郎,1,先発,敗,64,16,3,9,2,0,0,5,5,15.00
20260703_T-C_11,2026-07-03,金,セ・リーグ公式戦,ホーム,阪神タイガース,広島東洋カープ,今朝丸 裕喜,2,救援,,41,12,3,9,2,0,0,0,0,0.00
20260703_T-C_11,2026-07-03,金,セ・リーグ公式戦,ホーム,阪神タイガース,広島東洋カープ,石黒 佑弥,3,救援,,15,4,1,3,0,0,0,0,0,0.00
20260703_T-C_11,2026-07-03,金,セ・リーグ公式戦,ホーム,阪神タイガース,広島東洋カープ,及川 雅貴,4,救援,,15,3,1,3,0,0,0,0,0,0.00
20260703_T-C_11,2026-07-03,金,セ・リーグ公式戦,ホーム,阪神タイガース,広島東洋カープ,津田 淳哉,5,救援,,16,3,1,3,0,0,0,0,0,0.00
20260703_B-L_13,2026-07-03,金,パ・リーグ公式戦,ビジター,埼玉西武ライオンズ,オリックス・バファローズ,髙橋 光成,1,先発,,90,18,3,9,5,0,0,4,4,12.00
