球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO
阪神タイガース,小野寺 暖,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,豊田 寛,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,福島 圭音,外野手,0.182,11,0,2,0,0,0,0,1,2,1,0,2,0,0.313,0.182,0.494,0.000
阪神タイガース,戸井 零士,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,川﨑 俊哲,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,アルナエス,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,西 純矢,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,山﨑 照英,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,コンスエグラ,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,松尾 汐恩,捕手,0.292,48,5,14,1,0,1,2,7,2,1,0,0,0,0.262,0.375,0.637,0.083
横浜DeNAベイスターズ,戸柱 恭孝,捕手,0.133,15,0,2,0,0,0,1,2,0,0,0,0,0,0.118,0.133,0.251,0.000
横浜DeNAベイスターズ,益子 京右,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,東妻 純平,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,古市 尊,捕手,0.000,4,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,九鬼 隆平,捕手,0.500,2,0,1,1,0,0,0,0,0,0,0,0,0,0.333,1.000,1.333,0.500
横浜DeNAベイスターズ,林 琢真,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,牧 秀悟,内野手,0.250,36,6,9,2,0,3,13,11,0,1,0,0,1,0.217,0.556,0.773,0.306
横浜DeNAベイスターズ,小田 康一郎,内野手,0.000,7,1,0,0,0,0,0,3,1,0,0,0,0,0.125,0.000,0.125,0.000
横浜DeNAベイスターズ,森 敬斗,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,京田 陽太,内野手,0.192,26,4,5,1,0,1,5,6,2,2,0,0,1,0.257,0.346,0.603,0.154
横浜DeNAベイスターズ,筒香 嘉智,内野手,0.213,47,4,10,0,0,0,2,13,10,0,0,0,1,0.299,0.213,0.511,0.000
横浜DeNAベイスターズ,三森 大貴,内野手,0.300,20,4,6,1,0,0,1,3,1,0,0,2,0,0.259,0.350,0.609,0.050
横浜DeNAベイスターズ,柴田 竜拓,内野手,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,宮下 朝陽,内野手,1.000,4,1,4,0,0,1,3,0,0,0,0,0,0,0.500,1.750,2.250,0.750
横浜DeNAベイスターズ,加藤 響,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,井上 朋也,内野手,0.000,8,0,0,0,0,0,0,4,1,0,0,0,0,0.111,0.000,0.111,0.000
横浜DeNAベイスターズ,石上 泰輝,内野手,0.163,43,3,7,2,0,0,1,12,1,0,1,0,3,0.157,0.209,0.366,0.047
横浜DeNAベイスターズ,成瀬 脩人,内野手,0.200,5,1,1,0,0,0,0,4,0,0,0,0,1,0.167,0.200,0.367,0.000
横浜DeNAベイスターズ,宮﨑 敏郎,内野手,0.271,48,5,13,1,0,2,3,11,4,0,0,0,1,0.262,0.417,0.678,0.146
横浜DeNAベイスターズ,田内 真翔,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,ビシエド,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,度会 隆輝,外野手,0.208,72,6,15,4,0,2,9,9,5,1,0,0,0,0.226,0.347,0.573,0.139
横浜DeNAベイスターズ,佐野 恵太,外野手,0.313,64,4,20,6,0,0,4,10,5,1,0,0,0,0.289,0.406,0.695,0.094
横浜DeNAベイスターズ,神里 和毅,外野手,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,勝又 温史,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,井上 絢登,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,梶原 昂希,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,蝦名 達夫,外野手,0.274,73,12,20,5,1,2,9,16,6,3,0,1,0,0.284,0.452,0.736,0.178
横浜DeNAベイスターズ,関根 大気,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,濱 将乃介,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,ヒュンメル,外野手,0.250,24,3,6,2,0,1,4,12,3,1,0,0,1,0.294,0.458,0.752,0.208
横浜DeNAベイスターズ,上甲 凌大,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,近藤 大雅,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,小笠原 蒼,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,西巻 賢二,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,清水 詩太,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,高見澤 郁魅,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,小針 大輝,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,會澤 翼,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,坂倉 将吾,捕手,0.261,69,5,18,3,0,2,9,16,5,1,0,2,2,0.258,0.391,0.649,0.130
広島東洋カープ,石原 貴規,捕手,0.286,7,0,2,0,0,0,0,2,1,0,0,0,0,0.300,0.286,0.586,0.000
広島東洋カープ,持丸 泰輝,捕手,0.188,48,4,9,1,0,2,5,15,5,1,3,0,0,0.238,0.333,0.571,0.146
広島東洋カープ,清水 叶人,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,髙木 翔斗,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,羽月 隆太郎,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,勝田 成,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,矢野 雅哉,内野手,0.200,20,4,4,0,0,0,0,7,4,0,1,0,0,0.286,0.200,0.486,0.000
広島東洋カープ,小園 海斗,内野手,0.217,60,2,13,3,1,0,0,8,5,0,0,0,0,0.231,0.300,0.531,0.083
広島東洋カープ,堂林 翔太,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,佐々木 泰,内野手,0.296,27,2,8,1,0,0,0,2,3,0,0,0,1,0.289,0.333,0.623,0.037
広島東洋カープ,菊池 涼介,内野手,0.183,60,3,11,4,0,0,3,16,8,0,2,0,0,0.241,0.250,0.491,0.067
広島東洋カープ,林 晃汰,内野手,0.000,6,0,0,0,0,0,0,3,1,0,0,0,0,0.143,0.000,0.143,0.000
