球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO,期間
阪神タイガース,榮枝 裕貴,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,町田 隼乙,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,長坂 拳弥,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,藤田 健斗,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,中川 勇斗,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,嶋村 麟士朗,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,元山 飛優,内野手,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,木浪 聖也,内野手,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,大山 悠輔,内野手,0.375,16,2,6,2,0,1,6,3,3,0,0,0,0,0.4736842105,0.6875,1.161184211,0.3125,2026/07/08_2026/07/13
阪神タイガース,熊谷 敬宥,内野手,0.2352941176,17,1,4,1,0,0,1,5,1,0,0,1,1,0.2777777778,0.2941176471,0.5718954248,0.05882352941,2026/07/08_2026/07/13
阪神タイガース,中野 拓夢,内野手,0.2941176471,17,5,5,0,0,0,0,3,2,0,1,0,0,0.3684210526,0.2941176471,0.6625386997,0,2026/07/08_2026/07/13
阪神タイガース,佐藤 輝明,内野手,0.2941176471,17,5,5,2,0,2,4,4,2,0,0,0,2,0.3684210526,0.7647058824,1.133126935,0.4705882353,2026/07/08_2026/07/13
阪神タイガース,立石 正広,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,ディベイニー,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,谷端 将伍,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,糸原 健斗,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,小幡 竜平,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,佐野 大陽,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,山田 脩也,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,百﨑 蒼生,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,植田 海,内野手,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,髙寺 望夢,内野手,0.09090909091,11,0,1,0,0,0,1,2,0,2,0,0,0,0.2307692308,0.09090909091,0.3216783217,0,2026/07/08_2026/07/13
阪神タイガース,森下 翔太,外野手,0.2777777778,18,5,5,1,0,2,4,1,2,1,0,0,0,0.380952381,0.6666666667,1.047619048,0.3888888889,2026/07/08_2026/07/13
阪神タイガース,近本 光司,外野手,0.25,8,1,2,0,0,0,0,2,0,0,0,0,0,0.25,0.25,0.5,0,2026/07/08_2026/07/13
阪神タイガース,濱田 太貴,外野手,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2026/07/08_2026/07/13
阪神タイガース,岡城 快生,外野手,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,井坪 陽生,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,島田 海吏,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,前川 右京,外野手,0.06666666667,15,1,1,0,0,1,3,1,3,0,0,0,0,0.2222222222,0.2666666667,0.4888888889,0.2,2026/07/08_2026/07/13
阪神タイガース,小野寺 暖,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,豊田 寛,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,福島 圭音,外野手,0.3333333333,3,0,1,0,0,0,0,2,0,0,0,0,0,0.3333333333,0.3333333333,0.6666666667,0,2026/07/08_2026/07/13
阪神タイガース,戸井 零士,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,川﨑 俊哲,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,アルナエス,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,西 純矢,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,山﨑 照英,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,コンスエグラ,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,松尾 汐恩,捕手,0.3333333333,18,4,6,1,0,1,4,2,2,0,0,1,0,0.4,0.5555555556,0.9555555556,0.2222222222,2026/07/08_2026/07/13
横浜DeNAベイスターズ,戸柱 恭孝,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,益子 京右,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,東妻 純平,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,古市 尊,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,九鬼 隆平,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,林 琢真,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,牧 秀悟,内野手,0.2941176471,17,5,5,0,0,1,1,3,4,1,0,0,0,0.4545454545,0.4705882353,0.9251336898,0.1764705882,2026/07/08_2026/07/13
横浜DeNAベイスターズ,小田 康一郎,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,森 敬斗,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,京田 陽太,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,筒香 嘉智,内野手,0.2,15,3,3,1,0,1,3,10,4,0,0,0,0,0.3684210526,0.4666666667,0.8350877193,0.2666666667,2026/07/08_2026/07/13
横浜DeNAベイスターズ,三森 大貴,内野手,0.25,4,0,1,0,0,0,0,1,0,0,0,0,0,0.25,0.25,0.5,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,柴田 竜拓,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,宮下 朝陽,内野手,0.25,8,0,2,0,0,0,0,1,2,0,0,0,0,0.4,0.25,0.65,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,加藤 響,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,井上 朋也,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,石上 泰輝,内野手,0.2222222222,9,1,2,0,0,0,0,3,0,0,2,0,0,0.2222222222,0.2222222222,0.4444444444,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,成瀬 脩人,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
横浜DeNAベイスターズ,宮﨑 敏郎,内野手,0.1818181818,11,1,2,1,0,0,2,1,2,0,0,0,0,0.3076923077,0.2727272727,0.5804195804,0.09090909091,2026/07/08_2026/07/13
横浜DeNAベイスターズ,田内 真翔,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
