球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO
阪神タイガース,小野寺 暖,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,豊田 寛,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,福島 圭音,外野手,0.200,5,0,1,0,0,0,0,1,2,0,0,2,0,0.375,0.200,0.575,0.000
阪神タイガース,戸井 零士,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,川﨑 俊哲,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,アルナエス,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,西 純矢,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,山﨑 照英,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,コンスエグラ,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,松尾 汐恩,捕手,0.235,34,2,8,0,0,1,2,6,1,0,0,0,0,0.209,0.324,0.533,0.088
横浜DeNAベイスターズ,戸柱 恭孝,捕手,0.125,8,0,1,0,0,0,0,0,0,0,0,0,0,0.111,0.125,0.236,0.000
横浜DeNAベイスターズ,益子 京右,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,東妻 純平,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,古市 尊,捕手,0.000,4,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,九鬼 隆平,捕手,0.500,2,0,1,1,0,0,0,0,0,0,0,0,0,0.333,1.000,1.333,0.500
横浜DeNAベイスターズ,林 琢真,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,牧 秀悟,内野手,0.500,16,4,8,2,0,2,10,4,0,0,0,0,0,0.333,1.000,1.333,0.500
横浜DeNAベイスターズ,小田 康一郎,内野手,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,森 敬斗,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,京田 陽太,内野手,0.158,19,2,3,0,0,1,4,6,2,1,0,0,1,0.240,0.316,0.556,0.158
横浜DeNAベイスターズ,筒香 嘉智,内野手,0.200,30,2,6,0,0,0,1,9,5,0,0,0,0,0.268,0.200,0.468,0.000
横浜DeNAベイスターズ,三森 大貴,内野手,0.313,16,3,5,1,0,0,1,3,0,0,0,2,0,0.238,0.375,0.613,0.063
横浜DeNAベイスターズ,柴田 竜拓,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,宮下 朝陽,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,加藤 響,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,井上 朋也,内野手,0.000,8,0,0,0,0,0,0,4,1,0,0,0,0,0.111,0.000,0.111,0.000
横浜DeNAベイスターズ,石上 泰輝,内野手,0.171,35,3,6,2,0,0,0,8,1,0,1,0,2,0.167,0.229,0.395,0.057
横浜DeNAベイスターズ,成瀬 脩人,内野手,0.200,5,1,1,0,0,0,0,4,0,0,0,0,1,0.167,0.200,0.367,0.000
横浜DeNAベイスターズ,宮﨑 敏郎,内野手,0.242,33,2,8,0,0,1,2,9,3,0,0,0,1,0.250,0.333,0.583,0.091
横浜DeNAベイスターズ,田内 真翔,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,ビシエド,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,度会 隆輝,外野手,0.208,48,4,10,3,0,2,8,7,4,1,0,0,0,0.238,0.396,0.634,0.188
横浜DeNAベイスターズ,佐野 恵太,外野手,0.410,39,2,16,4,0,0,2,6,4,1,0,0,0,0.350,0.513,0.863,0.103
横浜DeNAベイスターズ,神里 和毅,外野手,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,勝又 温史,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,井上 絢登,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,梶原 昂希,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,蝦名 達夫,外野手,0.327,49,9,16,5,1,1,4,10,5,1,0,0,0,0.310,0.531,0.840,0.204
横浜DeNAベイスターズ,関根 大気,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,濱 将乃介,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,ヒュンメル,外野手,0.250,20,2,5,2,0,1,4,11,2,1,0,0,1,0.286,0.500,0.786,0.250
横浜DeNAベイスターズ,上甲 凌大,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,近藤 大雅,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,小笠原 蒼,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,西巻 賢二,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,清水 詩太,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,高見澤 郁魅,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
横浜DeNAベイスターズ,小針 大輝,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,會澤 翼,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,坂倉 将吾,捕手,0.190,42,3,8,1,0,1,5,10,3,1,0,1,1,0.222,0.286,0.508,0.095
広島東洋カープ,石原 貴規,捕手,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,持丸 泰輝,捕手,0.212,33,3,7,1,0,2,5,12,5,1,1,0,0,0.283,0.424,0.707,0.212
広島東洋カープ,清水 叶人,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,髙木 翔斗,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,羽月 隆太郎,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,勝田 成,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,矢野 雅哉,内野手,0.200,20,4,4,0,0,0,0,7,3,0,1,0,0,0.259,0.200,0.459,0.000
広島東洋カープ,小園 海斗,内野手,0.257,35,2,9,2,1,0,0,3,1,0,0,0,0,0.222,0.371,0.594,0.114
広島東洋カープ,堂林 翔太,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
広島東洋カープ,佐々木 泰,内野手,0.250,12,0,3,0,0,0,0,0,0,0,0,0,0,0.200,0.250,0.450,0.000
広島東洋カープ,菊池 涼介,内野手,0.189,37,2,7,3,0,0,3,8,4,0,2,0,0,0.229,0.270,0.499,0.081
広島東洋カープ,林 晃汰,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
